Site,GE
M1-00000,144.4
M1-00300,112.8
M1-00600,120.0
M1-00900,146.5
M1-01200,135.3
M1-01500,136.9
M1-01800,118.5
M1-02100,136.7
M1-02400,129.9
M1-02700,132.9
M1-03000,132.6
M3-00000,125.0
M3-00300,121.2
M3-00600,121.4
M3-00900,128.4
M3-01200,132.8
M3-01500,103.6
M3-01800,124.3
M3-02100,121.1
M3-02400,122.9
M3-02700,120.7
M3-03000,140.7
M3-03300,102.4
M3-03600,87.6
M3-03900,116.5
M3-04200,108.6
M3-04500,128.7
M3-04800,112.7
M3-05100,123.9
M3-05400,118.3
M3-05700,130.4
M3-06000,125.1
M3-06300,123.4
M3-06600,121.3
M3-06900,130.7
M3-07200,146.5
M3-07500,127.1
M3-07800,119.3
M3-08100,125.1
M3-08400,117.3
M3-08700,122.2
M3-09000,122.1
M3-09300,130.0
M3-09600,116.2
M3-09900,129.2
M3-10200,113.9
M3-10500,127.6
M3-10800,121.5
M3-11100,121.3
M3-11400,124.5
M3-11700,97.3
M3-12000,106.2
M4-00000,22.2
M4-00300,34.2
M4-00600,29.1
M4-00900,32.5
M4-01200,33.6
M4-01500,
M4-01800,
M4-02100,34.9
M4-02400,34.3
M4-02700,36.3
M4-03300,33.1
M4-03600,26.0
M4-03900,27.6
M4-04200,14.4
M4-04485,14.9
M4-04800,4.1
M4-05100,9.8
M4-05400,1.5
M4-05700,8.6
M4-06000,6.3
