Site,GE
M1-00000,144.4
M1-00300,112.8
M1-00600,120
M1-00900,146.5
M1-01200,135.3
M1-01500,136.9
M1-01800,118.5
M1-02100,136.7
M1-02400,129.9
M1-02700,132.9
M1-03000,132.6
M1-03500,135.7
M1-04000,127.2
M1-04500,146.5
M1-05000,128.6
M1-05300,144
M1-05500,131.2
M1-05800,124
M1-06000,120.7
M1-06300,118.9
M1-06500,135.4
M1-06900,133.2
M1-07000,132.7
M1-07300,123.9
M1-07500,124.9
M1-07800,131.9
M1-08000,124.2
M1-08260,127.1
M1-08300,127.1
M1-08500,126.5
M1-08800,135.1
M1-09000,138.8
M2-00000,123.2
M2-00500,114.3
M2-01000,119.2
M2-01500,123.3
M2-02000,146.8
M2-02500,121.1
M2-03000,127.4
M2-03500,130.9
M2-03800,135.1
M2-04000,146.1
M2-04300,132.6
M2-04500,132.5
M2-04800,135.7
M2-05000,149.4
M2-05500,127.7
M2-05760,141.8
M2-06000,131.6
M2-06500,143.1
M2-07000,136.6
M2-07500,128.1
M2-08000,141.5
M2-08500,153.4
M2-09000,152.9
M2-09500,139.8
M2-10000,147.7
M2-10500,147.2
M3-00000,125
M3-00300,121.2
M3-00600,121.4
M3-00900,128.4
M3-01200,132.8
M3-01500,103.6
M3-01800,124.3
M3-02100,121.1
M3-02400,122.9
M3-02700,120.7
M3-03000,140.7
M3-03300,102.4
M3-03600,87.6
M3-03900,116.5
M3-04200,108.6
M3-04500,128.7
M3-04800,112.7
M3-05100,123.9
M3-05400,118.3
M3-05700,130.4
M3-06000,125.1
M3-06300,123.4
M3-06600,121.3
M3-06900,130.7
M3-07200,146.5
M3-07500,127.1
M3-07800,119.3
M3-08100,125.1
M3-08400,117.3
M3-08700,122.2
M3-09000,122.1
M3-09300,130
M3-09600,116.2
M3-09900,129.2
M3-10200,113.9
M3-10500,127.6
M3-10800,121.5
M3-11100,121.3
M3-11400,124.5
M3-11700,97.3
M3-12000,106.2
M3-12500,123.1
M3-13000,109.3
M3-13500,114.3
M3-14000,116.8
M3-14500,127.6
M3-15000,120.9
M3-15500,115
M3-15800,96.6
M3-16000,124.1
M3-16300,115.9
M3-16500,120.7
M3-16800,127.7
M3-17000,117.3
M3-17300,120.7
M3-17500,125.6
M3-17800,97.2
M3-18000,123.4
M3-18300,108.8
M3-18500,107.4
M3-19000,120.1
M3-19300,116.2
M3-19500,104.6
M3-19800,134.8
M3-20000,122.9
M3-20200,136.2
M3-20300,120.9
M3-20500,120
M3-20700,136.6
M3-20800,122.7
M3-21000,114.4
M3-21300,119.8
M3-21500,139.5
M3-21800,138.8
M3-22000,131.1
M3-22500,116
M3-23000,123.2
M3-23500,130.6
M3-24000,141
M3-24500,135.5
M3-25000,137.6
M3-25500,136.8
M3-26000,136
M3-26500,143.7
M3-27000,147.3
M3-27500,146.6
M3-28000,151.1
M3-28500,141.6
M3-29000,155.3
M3-29500,153.7
M3-30000,156.6
M3-30500,159.6
M3-31000,160.6
M3-31300,157.7
M3-31600,157.8
M3-31900,159.4
M3-32200,155.1
M3-32500,146.2
M3-32800,149.1
M3-33100,142.8
M3-33400,139.6
M3-33700,144
M3-34000,147
M3-34300,144
M3-34600,137.5
M3-34900,138.1
M3-35200,135.7
M3-35500,130.4
M3-35800,133.1
M4-00000,22.2
M4-00300,34.2
M4-00600,29.1
M4-00900,32.5
M4-01200,33.6
M4-01500,33.8
M4-01800,35
M4-02100,34.9
M4-02400,34.3
M4-02700,36.3
M4-03000,33.1
M4-03300,33.1
M4-03600,26
M4-03900,27.6
M4-04200,14.4
M4-04485,14.9
M4-04800,4.1
M4-05100,9.8
M4-05400,1.5
M4-05700,8.6
M4-06000,6.3
M4-06300,0.6
M4-06500,4.2
M4-06800,15.1
M4-07000,-2.7
M4-07300,1.8
M4-07500,2.5
M4-07800,-3.2
M4-08000,-9.7
M4-08300,-17.2
M4-08500,-10.2
M4-08800,-8.8
M4-09000,-11.1
M4-09300,-8
M4-09500,-10.8
M4-09800,-13.1
M4-10000,-7.7
M4-10300,-3.9
M4-10500,-3.2
M4-10800,-9.5
M4-11000,-9.2
M4-11300,-11.4
M4-11500,-6.4
M4-11800,9.6
M4-12000,5.2
M4-12300,-13.5
M4-12500,-11.4
M4-12800,1.1
M4-13000,-10.1
M4-13300,-5.4
M4-13500,-3.2
M4-13800,-3.6
M4-14000,7.9
M4-14300,-19
M4-14500,-8.1
