Site,GE
B-01-03,27
B-01-07,51
B-02-02,59
B-02-04,57
B-02-05,43
B-02-07,51
B-03-01,11
B-03-03,17
B-03-04,16
B-07-01,40
B-07-02,53
B-07-03,44
B-07-04,55
B-07-06,42
B-08-01,51
B-08-02,42
B-11-10,8
B-12-05,37
B-12-06,33
B-14-01,47
B-14-02,46
B-14-03,47
F-01-03,139
F-03-05,142
M2-00000,123.2049072
M2-00500,114.2823944
M2-01000,119.2444977
M2-01500,123.3349945
M2-02000,146.8171967
M2-02500,121.0608948
M3-01500,103.6
M3-02100,121.1
M3-03000,140.7
M3-03300,102.3534012
M3-04500,128.6916992
M3-04800,112.7
M3-05100,123.8591034
M3-14500,127.6105988
M3-15000,120.8916962
M3-15500,115.0227051
M3-15800,96.62270508
M3-16000,124.0812988
M3-16300,115.8812988
M4-09300,-8.01989975
M4-09800,-13.10935135
M4-10300,-3.924569702
M4-10800,-9.456071472
M4-11300,-11.35612106
M4-11800,9.58631897
M5-06900,4.8
M5-08100,8.4
M5-09000,18.4
